연도,국내 연평균 해수면온도 편차
1968,-1
1969,-1.1
1970,-1.1
1971,-1.1
1972,-0.6
1973,-0.6
1974,-1.1
1975,-0.2
1976,-0.8
1977,-1.2
1978,0
1979,0.2
1980,-1.2
1981,-1.3
1982,0
1983,-0.2
1984,-1
1985,-0.5
1986,-0.9
1987,-0.7
1988,-0.2
1989,-0.5
1990,0.1
1991,-0.6
1992,-0.4
1993,-1
1994,-0.1
1995,-0.3
1996,-0.2
1997,0.1
1998,0.5
1999,0
2000,-0.2
2001,0.4
2002,-0.2
2003,-0.3
2004,0.5
2005,0.1
2006,0
2007,0.5
2008,0.4
2009,0.5
2010,0
2011,-0.7
2012,-0.1
2013,0
2014,-0.1
2015,-0.2
2016,0.8
2017,0.1
2018,-0.2
2019,0.5
2020,0.4
2021,0.9
2022,0.2
2023,1
