연도,전지구 연평균 해수면온도 편차
1891,-0.5
1892,-0.6
1893,-0.6
1894,-0.6
1895,-0.5
1896,-0.4
1897,-0.4
1898,-0.6
1899,-0.5
1900,-0.4
1901,-0.5
1902,-0.6
1903,-0.7
1904,-0.7
1905,-0.6
1906,-0.6
1907,-0.6
1908,-0.7
1909,-0.8
1910,-0.8
1911,-0.8
1912,-0.6
1913,-0.7
1914,-0.6
1915,-0.5
1916,-0.6
1917,-0.6
1918,-0.5
1919,-0.5
1920,-0.5
1921,-0.5
1922,-0.6
1923,-0.6
1924,-0.6
1925,-0.5
1926,-0.4
1927,-0.5
1928,-0.5
1929,-0.6
1930,-0.4
1931,-0.4
1932,-0.4
1933,-0.5
1934,-0.5
1935,-0.5
1936,-0.5
1937,-0.4
1938,-0.5
1939,-0.4
1940,-0.3
1941,-0.3
1942,-0.3
1943,-0.3
1944,-0.2
1945,-0.3
1946,-0.5
1947,-0.5
1948,-0.5
1949,-0.5
1950,-0.5
1951,-0.4
1952,-0.3
1953,-0.3
1954,-0.5
1955,-0.5
1956,-0.5
1957,-0.3
1958,-0.3
1959,-0.3
1960,-0.3
1961,-0.3
1962,-0.3
1963,-0.3
1964,-0.5
1965,-0.4
1966,-0.4
1967,-0.4
1968,-0.4
1969,-0.2
1970,-0.3
1971,-0.4
1972,-0.2
1973,-0.3
1974,-0.4
1975,-0.4
1976,-0.4
1977,-0.3
1978,-0.3
1979,-0.2
1980,-0.2
1981,-0.2
1982,-0.2
1983,-0.2
1984,-0.2
1985,-0.3
1986,-0.2
1987,-0.1
1988,-0.2
1989,-0.2
1990,-0.1
1991,-0.1
1992,-0.2
1993,-0.2
1994,-0.2
1995,-0.1
1996,-0.1
1997,0
1998,0
1999,-0.2
2000,-0.1
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,-0.1
2008,-0.1
2009,0
2010,0
2011,-0.1
2012,0
2013,0
2014,0.1
2015,0.2
2016,0.2
2017,0.2
2018,0.1
2019,0.2
2020,0.2
2021,0.1
2022,0.2
2023,0.4
